"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"55170",0.131141482815345,2.21927726731161,3.97512756576594,0.000104977648580109,0.0230239114004511,0.591583516742265
"105379548",0.138615386361325,0.736254667158765,3.97006081686066,0.000107035252145746,0.0232779187019488,0.573292650647056
"497259",0.283324771174476,0.429867284889141,3.96336520472841,0.000109813292236928,0.0236830666924309,0.549151105745333
"171019",0.234059991664885,1.05490046472615,3.95966056606135,0.000111379721561546,0.0238223735042381,0.535808181720447
"440068",0.169419939686821,1.26162079081286,3.95344291884154,0.000114056634029848,0.0241949646614137,0.51343733739736
"105378221",-0.250427326530296,1.64573379789844,-3.93579001173214,0.000121994565698931,0.0256684500836451,0.45008110120197
"6013",0.158871880622476,1.17343436226691,3.93285569091318,0.000123363951851555,0.0257472505961149,0.439572541754493
"79400",-0.194167560320763,0.875551432856744,-3.90676865608526,0.000136197962389631,0.0281984261331492,0.346433384483285
"3897",0.165232911560836,1.97288593611305,3.90187951779544,0.000138740407032249,0.0284968391586873,0.329034729141594
"4703",-0.290698255391959,2.56040631900265,-3.89415459564967,0.00014284967080112,0.0291098384278189,0.301581394214026
"2674",0.176353128477097,2.28370214416283,3.8877398842482,0.000146349610108561,0.0294023484261692,0.278818692432244
"214",0.15961019491554,2.53218898531442,3.88736382406544,0.000146557300887783,0.0294023484261692,0.277485204061662
"114043",0.204965504448532,1.04073240737447,3.87660621055518,0.000152618496693962,0.0303828207264595,0.239384696197814
"55510",-0.209226836280139,1.36784852362082,-3.87185769487046,0.000155369049518083,0.0306942824544122,0.222594683205385
"1654",0.183612865373242,3.72482534407012,3.8631718973595,0.000160522503188675,0.0314721392615372,0.191927355612179
"101929560",0.204942598500376,0.459496126255143,3.85823539886719,0.000163523338023017,0.0318194284814713,0.174523395630213
"8277",0.141413679229864,2.48285749720424,3.85295086783809,0.000166794729720462,0.0320742825938804,0.155912965513051
"339896",0.243170306131401,0.805160752767624,3.85212469851842,0.00016731175232511,0.0320742825938804,0.153005382091136
"100507008",-0.227163971971866,2.05645437886981,-3.84635940408517,0.000170962291767299,0.0325331184627771,0.132729730242467
"9626",0.251357931292566,2.53039824939547,3.82481628848699,0.000185283414782535,0.0350009837559999,0.0571901847795626
"79589",-0.258771290319759,0.987280417105181,-3.79296559003674,0.000208556896936416,0.0386539526380054,-0.0538421659757962
"6019",0.153171131767176,1.07925403441931,3.79276453208378,0.000208712250917354,0.0386539526380054,-0.0545405897711717
"116534",0.187323645828069,1.0378129557535,3.79226106424403,0.000209101753064944,0.0386539526380054,-0.056289371880565
"6565",-0.169413058578409,2.19293064398994,-3.77558324733041,0.000222400683351024,0.0406020242705358,-0.114109272100406
