"","logFC","AveExpr","t","P.Value","adj.P.Val","B","negLogP","plotNegLogP","Significance","Color"
"200844",0.0934796897565423,0.730564745597568,1.65947088467028,0.0989198000593102,0.3937924050969,-5.56319246060132,1.00471677012338,1.00471677012338,"Not Significant","grey80"
"10531",0.0382807999838042,3.39218465352816,1.65919838905442,0.0989747655455324,0.393950620165853,-5.56363558117123,1.00447551834466,1.00447551834466,"Not Significant","grey80"
"2339",0.041553179026335,3.3032861616332,1.65901779528321,0.0990112069294122,0.394035066174564,-5.56392921617489,1.00431564548182,1.00431564548182,"Not Significant","grey80"
"639",0.0877096567398354,2.02276032330094,1.65887985875217,0.0990390479368696,0.394061025031814,-5.56415347216243,1.00419354318009,1.00419354318009,"Not Significant","grey80"
"80305",0.102368724292567,2.39787938470974,1.65883460802857,0.0990481826828419,0.394061025031814,-5.56422703645978,1.00415348840463,1.00415348840463,"Not Significant","grey80"
"8175",0.0962512192236325,2.36246860894846,1.65871858733909,0.0990716068346224,0.394090074595622,-5.56441564293234,1.00405079316218,1.00405079316218,"Not Significant","grey80"
"5045",0.0592208189930498,3.03015631546692,1.65861773438729,0.0990919723002883,0.394090074595622,-5.56457958194419,1.00396152742092,1.00396152742092,"Not Significant","grey80"
"729288",0.0510137112781088,1.82014620921931,1.65852280097085,0.0991111455011035,0.394090074595622,-5.56473388979616,1.00387750436989,1.00387750436989,"Not Significant","grey80"
"27301",0.0447351685860487,2.58590262069828,1.65849209990395,0.0991173466727587,0.394090074595622,-5.5647837904779,1.00385033234631,1.00385033234631,"Not Significant","grey80"
"107986855",-0.0698317245300502,0.213429456758641,-1.6584214292081,0.0991316223190688,0.394090074595622,-5.56489865331655,1.00378778640259,1.00378778640259,"Not Significant","grey80"
"1362",0.0604816661214357,3.13164252536091,1.6580848644856,0.0991996319044306,0.39425755312846,-5.56544561538715,1.00348993935964,1.00348993935964,"Not Significant","grey80"
"105371453",0.067889246678677,1.31746479467569,1.65804690735697,0.0992073042530546,0.39425755312846,-5.5655072939927,1.00345635123277,1.00345635123277,"Not Significant","grey80"
"404217",0.101949470050901,0.421232660491125,1.65780247861974,0.0992567225586102,0.39425755312846,-5.5659044468563,1.00324006923753,1.00324006923753,"Not Significant","grey80"
"54972",0.0754513863807927,2.11276122303709,1.65772876689949,0.0992716293943962,0.39425755312846,-5.56602420407153,1.00317484977166,1.00317484977166,"Not Significant","grey80"
"219855",0.0730472821581634,2.04389110795977,1.65769356898887,0.0992787481584816,0.39425755312846,-5.56608138724212,1.00314370765046,1.00314370765046,"Not Significant","grey80"
"54478",0.0898867969332382,0.74739440989825,1.657676131122,0.0992822751127125,0.39425755312846,-5.5661097166853,1.0031282792775,1.0031282792775,"Not Significant","grey80"
"5686",0.0449776512767558,3.32119407431105,1.6575796093038,0.0993017992815164,0.39425755312846,-5.56626652018091,1.00304288231072,1.00304288231072,"Not Significant","grey80"
"79739",-0.0952862093948947,2.55611116029829,-1.65750825241293,0.0993162351453,0.39425755312846,-5.56638243658483,1.00297975193072,1.00297975193072,"Not Significant","grey80"
